statistic,value
total_population_skills,"5,235"
unique_repos,818
unique_publishers,688
pct_official,23.4%
pct_with_any_audit,90.3%
pct_with_all_three_audits,90.3%
pct_with_skill_md,63.9%
installs_min,717
installs_p10,815
installs_p25,"1,075"
installs_median_p50,"1,825"
installs_mean,"9,506"
installs_p75,"5,544"
installs_p90,"13,896"
installs_p99,"147,496"
installs_max,"1,610,645"
github_stars_median,"1,700"
github_stars_mean,"23,467"
github_stars_parsed_n,"5,020"
