category,objective,hybrid,holistic,none_visible,unclear
business-strategy,0,3,7,0,0
communication-tools,3,2,4,1,0
content-creation,1,6,3,0,0
document-management,3,4,2,1,0
education-and-training,3,4,3,0,0
financial-analysis,1,6,1,2,0
project-management,4,2,4,0,0
research-and-analysis,1,5,4,0,0
security-and-compliance,1,8,1,0,0
social-media-management,1,6,3,0,0
software-development,2,1,4,3,0
ui-ux-design,0,5,5,0,0
